run1,run2,run3,,,,
1,1,1,,,,
0,0,0,,,,
1,1,1,,,,
0,0,0,,,,
1,1,1,,,,
0,0,0,,,,
1,1,1,,,,
0,0,0,,,,
1,1,1,,,,
0,0,0,,,,
1,1,1,,,,
0,0,0,,,,
1,1,1,,,,
0,0,0,,,,
1,1,1,,,,
0,0,0,,,,
