,Event Type,Event Value
0,Sync Time,1.5000029259972507
1,Stim 0 Onset,14.568982191005489
2,Button Pressed,2.0
3,Stim 1 Onset,16.565969963005045
4,Button Pressed,1.0
5,Stim 2 Onset,18.56576240499271
6,Button Pressed,1.0
7,Stim 3 Onset,20.56560300999263
8,Button Pressed,2.0
9,Stim 0 Onset,27.569762776998687
10,Bar Orientation,0.0
11,Stim 1 Onset,29.565797014001873
12,Bar Orientation,2.0
13,Button Pressed,2.0
14,Button Pressed,1.0
15,Stim 2 Onset,31.565683349006576
16,Bar Orientation,1.0
17,Stim 3 Onset,33.56577905200538
18,Bar Orientation,0.0
19,Button Pressed,2.0
20,Button Pressed,1.0
21,Stim 0 Onset,40.568867462992785
22,Button Pressed,1.0
23,Stim 1 Onset,42.565617045998806
24,Button Pressed,2.0
25,Stim 2 Onset,44.56561217899434
26,Button Pressed,2.0
27,Stim 3 Onset,46.56552496099903
28,Button Pressed,2.0
29,Stim 0 Onset,53.56887705500412
30,Bar Orientation,0.0
31,Button Pressed,2.0
32,Stim 1 Onset,55.565705493994756
33,Bar Orientation,0.0
34,Button Pressed,2.0
35,Stim 2 Onset,57.56574663599895
36,Bar Orientation,0.0
37,Button Pressed,2.0
38,Stim 3 Onset,59.565601440001046
39,Bar Orientation,2.0
40,Button Pressed,1.0
41,Stim 0 Onset,66.569747963993
42,Button Pressed,1.0
43,Stim 1 Onset,68.56554914500157
44,Button Pressed,1.0
45,Stim 2 Onset,70.56581273699703
46,Button Pressed,2.0
47,Stim 3 Onset,72.56559928700153
48,Button Pressed,1.0
49,Stim 0 Onset,79.56890812200436
50,Bar Orientation,3.0
51,Button Pressed,1.0
52,Stim 1 Onset,81.56560421299946
53,Bar Orientation,3.0
54,Button Pressed,1.0
55,Stim 2 Onset,83.56574173200352
56,Bar Orientation,0.0
57,Button Pressed,2.0
58,Stim 3 Onset,85.56570638899575
59,Bar Orientation,3.0
60,Button Pressed,1.0
61,Stim 0 Onset,92.56897711500642
62,Stim 1 Onset,94.56588835500588
63,Button Pressed,1.0
64,Button Pressed,1.0
65,Stim 2 Onset,96.56597199500538
66,Button Pressed,2.0
67,Stim 3 Onset,98.56561766199593
68,Button Pressed,1.0
69,Stim 0 Onset,105.56890395500523
70,Bar Orientation,2.0
71,Button Pressed,1.0
72,Stim 1 Onset,107.56581101499614
73,Bar Orientation,2.0
74,Button Pressed,1.0
75,Stim 2 Onset,109.56575169200369
76,Bar Orientation,3.0
77,Button Pressed,2.0
78,Stim 3 Onset,111.5655129920051
79,Bar Orientation,3.0
80,Button Pressed,1.0
81,Stim 0 Onset,118.56884387199534
82,Button Pressed,2.0
83,Stim 1 Onset,120.56556874100352
84,Button Pressed,1.0
85,Stim 2 Onset,122.56579784500354
86,Button Pressed,1.0
87,Stim 3 Onset,124.56573273599497
88,Button Pressed,2.0
89,Stim 0 Onset,131.5692335049971
90,Bar Orientation,2.0
91,Button Pressed,1.0
92,Stim 1 Onset,133.56597712999792
93,Bar Orientation,2.0
94,Button Pressed,1.0
95,Stim 2 Onset,135.56573604300502
96,Bar Orientation,1.0
97,Button Pressed,2.0
98,Stim 3 Onset,137.56572542600043
99,Bar Orientation,1.0
100,Button Pressed,2.0
101,Stim 0 Onset,144.56898802300566
102,Button Pressed,1.0
103,Stim 1 Onset,146.56575049899402
104,Button Pressed,1.0
105,Stim 2 Onset,148.56607300699397
106,Button Pressed,2.0
107,Stim 3 Onset,150.5655349209992
108,Button Pressed,1.0
109,Stim 0 Onset,157.5688922929985
110,Bar Orientation,1.0
111,Stim 1 Onset,159.56552535199444
112,Bar Orientation,3.0
113,Button Pressed,2.0
114,Button Pressed,1.0
115,Stim 2 Onset,161.56551576599304
116,Bar Orientation,3.0
117,Button Pressed,1.0
118,Stim 3 Onset,163.56555332499556
119,Bar Orientation,3.0
120,Button Pressed,1.0
121,Stim 0 Onset,170.5689171720005
122,Button Pressed,2.0
123,Stim 1 Onset,172.5655967759958
124,Button Pressed,1.0
125,Stim 2 Onset,174.56578449500375
126,Stim 3 Onset,176.56571549100045
127,Button Pressed,2.0
128,Button Pressed,1.0
129,Stim 0 Onset,183.56894438300515
130,Bar Orientation,3.0
131,Button Pressed,1.0
132,Stim 1 Onset,185.5657111229957
133,Bar Orientation,1.0
134,Button Pressed,2.0
135,Stim 2 Onset,187.56570396099414
136,Bar Orientation,1.0
137,Button Pressed,2.0
138,Stim 3 Onset,189.5656753660005
139,Bar Orientation,1.0
140,Button Pressed,2.0
141,Stim 0 Onset,196.56924305700522
142,Stim 1 Onset,198.56559708100394
143,Button Pressed,1.0
144,Button Pressed,1.0
145,Stim 2 Onset,200.56559399599792
146,Button Pressed,1.0
147,Stim 3 Onset,202.56555367200053
148,Button Pressed,1.0
149,Stim 0 Onset,209.56882889999542
150,Bar Orientation,0.0
151,Button Pressed,2.0
152,Stim 1 Onset,211.56553335799254
153,Bar Orientation,2.0
154,Button Pressed,1.0
155,Stim 2 Onset,213.56594219499675
156,Bar Orientation,2.0
157,Button Pressed,1.0
158,Stim 3 Onset,215.56585904599342
159,Bar Orientation,1.0
160,Button Pressed,2.0
