,Event Type,Event Value
0,Sync Time,1.5007907480030553
1,Stim 0 Onset,14.567794116999721
2,Button Pressed,1.0
3,Stim 1 Onset,16.564655485999538
4,Button Pressed,2.0
5,Stim 2 Onset,18.564578391989926
6,Button Pressed,2.0
7,Stim 3 Onset,20.56507071800297
8,Button Pressed,1.0
9,Stim 0 Onset,27.567903781993664
10,Bar Orientation,3.0
11,Button Pressed,2.0
12,Stim 1 Onset,29.564412038002047
13,Bar Orientation,1.0
14,Button Pressed,1.0
15,Stim 2 Onset,31.56462940000347
16,Bar Orientation,1.0
17,Button Pressed,1.0
18,Stim 3 Onset,33.56438599000103
19,Bar Orientation,0.0
20,Button Pressed,1.0
21,Stim 0 Onset,40.56802671100013
22,Button Pressed,2.0
23,Stim 1 Onset,42.56471908399544
24,Button Pressed,1.0
25,Stim 2 Onset,44.564393722001114
26,Button Pressed,1.0
27,Stim 3 Onset,46.56443281300017
28,Button Pressed,1.0
29,Stim 0 Onset,53.567938439999125
30,Bar Orientation,1.0
31,Button Pressed,1.0
32,Stim 1 Onset,55.56439046000014
33,Bar Orientation,1.0
34,Button Pressed,1.0
35,Stim 2 Onset,57.5643829539913
36,Bar Orientation,1.0
37,Button Pressed,1.0
38,Stim 3 Onset,59.56444203799765
39,Bar Orientation,2.0
40,Button Pressed,2.0
41,Stim 0 Onset,66.56789027000195
42,Stim 1 Onset,68.56471821799641
43,Button Pressed,1.0
44,Button Pressed,2.0
45,Stim 2 Onset,70.56484502599051
46,Button Pressed,2.0
47,Stim 3 Onset,72.56458956799179
48,Button Pressed,1.0
49,Stim 0 Onset,79.56801471998915
50,Bar Orientation,1.0
51,Stim 1 Onset,81.56447771500098
52,Bar Orientation,0.0
53,Button Pressed,1.0
54,Button Pressed,1.0
55,Stim 2 Onset,83.56451751998975
56,Bar Orientation,1.0
57,Button Pressed,1.0
58,Stim 3 Onset,85.56448804699176
59,Bar Orientation,2.0
60,Button Pressed,2.0
61,Stim 0 Onset,92.56780580600025
62,Button Pressed,2.0
63,Stim 1 Onset,94.56445908099704
64,Button Pressed,2.0
65,Stim 2 Onset,96.56439352099551
66,Button Pressed,1.0
67,Stim 3 Onset,98.56466957199154
68,Button Pressed,2.0
69,Stim 0 Onset,105.56795081599557
70,Bar Orientation,2.0
71,Button Pressed,2.0
72,Stim 1 Onset,107.56446613399021
73,Bar Orientation,0.0
74,Button Pressed,1.0
75,Stim 2 Onset,109.56476147199282
76,Bar Orientation,3.0
77,Button Pressed,2.0
78,Stim 3 Onset,111.56474398799764
79,Bar Orientation,1.0
80,Button Pressed,1.0
81,Stim 0 Onset,118.56642353699135
82,Stim 1 Onset,120.5644719319971
83,Button Pressed,1.0
84,Button Pressed,2.0
85,Stim 2 Onset,122.5645457990031
86,Button Pressed,1.0
87,Stim 3 Onset,124.56470563999028
88,Button Pressed,1.0
89,Stim 0 Onset,131.5677749739989
90,Bar Orientation,3.0
91,Button Pressed,2.0
92,Stim 1 Onset,133.56462198199006
93,Bar Orientation,0.0
94,Button Pressed,1.0
95,Stim 2 Onset,135.56455929699587
96,Bar Orientation,2.0
97,Button Pressed,1.0
98,Stim 3 Onset,137.5645999039989
99,Bar Orientation,1.0
100,Button Pressed,1.0
101,Stim 0 Onset,144.56776586099295
102,Button Pressed,2.0
103,Stim 1 Onset,146.564465464995
104,Button Pressed,2.0
105,Stim 2 Onset,148.56472024098912
106,Button Pressed,1.0
107,Stim 3 Onset,150.5644767670019
108,Button Pressed,2.0
109,Stim 0 Onset,157.5683313949994
110,Bar Orientation,2.0
111,Button Pressed,2.0
112,Stim 1 Onset,159.564525572001
113,Bar Orientation,2.0
114,Button Pressed,2.0
115,Stim 2 Onset,161.56471493799472
116,Bar Orientation,3.0
117,Button Pressed,2.0
118,Stim 3 Onset,163.56470461699064
119,Bar Orientation,2.0
120,Button Pressed,2.0
121,Stim 0 Onset,170.5677904549957
122,Stim 1 Onset,172.56444498099154
123,Button Pressed,2.0
124,Stim 2 Onset,174.56459390099917
125,Button Pressed,1.0
126,Stim 3 Onset,176.56465237299562
127,Button Pressed,2.0
128,Stim 0 Onset,183.567685875998
129,Bar Orientation,0.0
130,Button Pressed,1.0
131,Stim 1 Onset,185.5646262849914
132,Bar Orientation,0.0
133,Button Pressed,1.0
134,Stim 2 Onset,187.56472749999375
135,Bar Orientation,1.0
136,Button Pressed,1.0
137,Stim 3 Onset,189.56439963499724
138,Bar Orientation,0.0
139,Button Pressed,1.0
140,Stim 0 Onset,196.56788552099897
141,Button Pressed,2.0
142,Stim 1 Onset,198.56495507399086
143,Stim 2 Onset,200.5646630919946
144,Button Pressed,2.0
145,Button Pressed,1.0
146,Stim 3 Onset,202.564418998998
147,Button Pressed,1.0
148,Stim 0 Onset,209.56798138699378
149,Bar Orientation,0.0
150,Button Pressed,2.0
151,Stim 1 Onset,211.56480234999617
152,Bar Orientation,1.0
153,Button Pressed,1.0
154,Stim 2 Onset,213.56451624300098
155,Bar Orientation,3.0
156,Button Pressed,2.0
157,Stim 3 Onset,215.56470810298924
158,Bar Orientation,0.0
159,Button Pressed,1.0
