,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1=F/same)
147,Button Pressed,2,diffOri,2,1
148,Stim 1 Onset,211.5838795539894,,,
149,Bar Orientation,2,,,
150,Button Pressed,1,sameOri,1,1
151,Stim 2 Onset,213.58396908600116,,,
152,Bar Orientation,3,,,
153,Button Pressed,1,sameOri,1,1
154,Stim 3 Onset,215.5839676429896,,,
155,Bar Orientation,0,,,
156,Button Pressed,2,diffOri,2,1
,Total Correct (%),,,,62.5
