,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1 = M/Diff),,,
128,Stim 0 Onset,183.5676859,,,,,,
129,Bar Orientation,0,diffOri,1,1,,,
130,Button Pressed,1,,,,,,
131,Stim 1 Onset,185.5646262849914,,,,,,
132,Bar Orientation,0,diffOri,,,,,
133,Button Pressed,1,,1,1,,,
134,Stim 2 Onset,187.56472749999375,,,,,,
135,Bar Orientation,1,diffOri,1,,,,
136,Button Pressed,1,,,1,,,
137,Stim 3 Onset,189.56439963499724,,,,,,
138,Bar Orientation,0,diffOri,1,1,,,
139,Button Pressed,1,,,,,,
140,Stim 0 Onset,196.56788552099897,,,,,,
141,Button Pressed,2,21 (NEU_M13),1,0,,,
142,Stim 1 Onset,198.56495507399086,7 (HAP_F16),NR,0,,,
143,Stim 2 Onset,200.5646630919946,,,,,,
144,Button Pressed,2,,,,,,
145,Button Pressed,1,31 (FEA_M08),1,1,,,
146,Stim 3 Onset,202.564419,,,,,,
147,Button Pressed,1,17 (NEU_F05),2,0,,,
148,Stim 0 Onset,209.56798138699378,,,,,,
149,Bar Orientation,0,diffOri,1,0,,,
150,Button Pressed,2,,,,,,
151,Stim 1 Onset,211.56480234999617,,,,,,
152,Bar Orientation,1,diffOri,,,,,
153,Button Pressed,1,,1,1,,,
154,Stim 2 Onset,213.56451624300098,,,,,,
155,Bar Orientation,3,sameOri,,,,,
156,Button Pressed,2,,2,1,,,
157,Stim 3 Onset,215.56470810298924,,,,,,
158,Bar Orientation,0,diffOri,,,,,
159,Button Pressed,1,,1,1,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,accuracy,,82.8125,,,
