,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1 = F/same)
148,Button Pressed,1,18 (NEU_F07),1,1
149,Stim 0 Onset,209.5660810749996,,,
150,Bar Orientation,0,,,
151,Button Pressed,2,diffOri,2,1
152,Stim 1 Onset,211.56292699699952,,,
153,Bar Orientation,1,,,
154,Button Pressed,2,diffOri,2,1
155,Stim 2 Onset,213.56295734099967,,,
156,Bar Orientation,3,,,
157,Button Pressed,1,sameOri,1,1
158,Stim 3 Onset,215.56309174099988,,,
159,Bar Orientation,3,,,
160,Button Pressed,1,sameOri,1,1
,Total Correct (%),,,,92.1875
