,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1 = M/Diff)
148,Button Pressed,2,30 (FEA_F35),2,1
149,Stim 0 Onset,209.56790953000018,,,
150,Bar Orientation,3,sameOri,2,1
151,Button Pressed,2,,,
152,Stim 1 Onset,211.5646938199934,,,
153,Bar Orientation,2,sameOri,2,0
154,Button Pressed,1,,,
155,Stim 2 Onset,213.5646072380041,,,
156,Bar Orientation,0,diffOri,1,1
157,Button Pressed,1,,,
158,Stim 3 Onset,215.5645554090006,,,
159,Bar Orientation,3,sameOri,2,1
160,Button Pressed,2,,,
,,,,,
,,,,,
,,,,,
,,,,,54
,,,,accuracy,84.375
