,Event Type,Event Value
0,Sync Time,1.49790227599442
1,Stim 0 Onset,14.576927438989514
2,Button Pressed,1.0
3,Stim 1 Onset,16.573681333989953
4,Button Pressed,2.0
5,Stim 2 Onset,18.573863357989467
6,Button Pressed,2.0
7,Stim 3 Onset,20.57362551499682
8,Button Pressed,2.0
9,Stim 0 Onset,27.576806835990283
10,Bar Orientation,2.0
11,Button Pressed,1.0
12,Stim 1 Onset,29.57358951200149
13,Bar Orientation,1.0
14,Button Pressed,2.0
15,Stim 2 Onset,31.573873954999726
16,Bar Orientation,3.0
17,Button Pressed,1.0
18,Stim 3 Onset,33.57371202298964
19,Bar Orientation,1.0
20,Button Pressed,2.0
21,Stim 0 Onset,40.57681726699229
22,Stim 1 Onset,42.57383201298944
23,Button Pressed,2.0
24,Button Pressed,2.0
25,Stim 2 Onset,44.573613023996586
26,Button Pressed,1.0
27,Stim 3 Onset,46.573746776994085
28,Button Pressed,2.0
29,Stim 0 Onset,53.57714384699648
30,Bar Orientation,0.0
31,Button Pressed,2.0
32,Stim 1 Onset,55.57381743199949
33,Bar Orientation,2.0
34,Button Pressed,1.0
35,Stim 2 Onset,57.5739053599973
36,Bar Orientation,3.0
37,Button Pressed,1.0
38,Stim 3 Onset,59.57373181199364
39,Bar Orientation,2.0
40,Button Pressed,1.0
41,Stim 0 Onset,66.57688403499196
42,Stim 1 Onset,68.5738218309998
43,Button Pressed,1.0
44,Button Pressed,1.0
45,Stim 2 Onset,70.57375607099675
46,Button Pressed,1.0
47,Stim 3 Onset,72.57373864899273
48,Button Pressed,2.0
49,Stim 0 Onset,79.57694974499464
50,Bar Orientation,1.0
51,Button Pressed,2.0
52,Stim 1 Onset,81.57366138599173
53,Bar Orientation,2.0
54,Button Pressed,1.0
55,Stim 2 Onset,83.5736897369934
56,Bar Orientation,1.0
57,Button Pressed,2.0
58,Stim 3 Onset,85.57446150000033
59,Bar Orientation,0.0
60,Button Pressed,2.0
61,Stim 0 Onset,92.57690431000083
62,Stim 1 Onset,94.5737836479966
63,Button Pressed,1.0
64,Button Pressed,1.0
65,Stim 2 Onset,96.57393018499715
66,Button Pressed,1.0
67,Stim 3 Onset,98.57391677999112
68,Button Pressed,2.0
69,Stim 0 Onset,105.5770472229924
70,Bar Orientation,0.0
71,Button Pressed,2.0
72,Stim 1 Onset,107.5737521139963
73,Bar Orientation,1.0
74,Button Pressed,2.0
75,Stim 2 Onset,109.57388850300049
76,Bar Orientation,2.0
77,Button Pressed,1.0
78,Stim 3 Onset,111.57372633799969
79,Bar Orientation,3.0
80,Button Pressed,1.0
81,Stim 0 Onset,118.57728083399707
82,Button Pressed,1.0
83,Stim 1 Onset,120.57386626799416
84,Button Pressed,1.0
85,Stim 2 Onset,122.57382617300027
86,Button Pressed,2.0
87,Stim 3 Onset,124.57356614198943
88,Button Pressed,1.0
89,Stim 0 Onset,131.57688341000176
90,Bar Orientation,3.0
91,Button Pressed,1.0
92,Stim 1 Onset,133.57359603200166
93,Bar Orientation,1.0
94,Button Pressed,1.0
95,Stim 2 Onset,135.57366012399143
96,Bar Orientation,2.0
97,Button Pressed,1.0
98,Stim 3 Onset,137.57362016499974
99,Bar Orientation,3.0
100,Button Pressed,1.0
101,Stim 0 Onset,144.5769589709962
102,Button Pressed,1.0
103,Stim 1 Onset,146.57377608399838
104,Button Pressed,1.0
105,Stim 2 Onset,148.57367015899217
106,Button Pressed,1.0
107,Stim 3 Onset,150.57375759800198
108,Button Pressed,2.0
109,Stim 0 Onset,157.57691447099205
110,Bar Orientation,0.0
111,Button Pressed,2.0
112,Stim 1 Onset,159.5736076989997
113,Bar Orientation,2.0
114,Button Pressed,1.0
115,Stim 2 Onset,161.57359503000043
116,Bar Orientation,3.0
117,Button Pressed,1.0
118,Stim 3 Onset,163.5736877570016
119,Bar Orientation,2.0
120,Button Pressed,1.0
121,Stim 0 Onset,170.57717443798902
122,Stim 1 Onset,172.57374199100013
123,Button Pressed,2.0
124,Button Pressed,1.0
125,Stim 2 Onset,174.57409164898854
126,Button Pressed,1.0
127,Stim 3 Onset,176.57361331798893
128,Button Pressed,1.0
129,Stim 0 Onset,183.57679353500134
130,Bar Orientation,1.0
131,Button Pressed,2.0
132,Stim 1 Onset,185.57359269500012
133,Bar Orientation,0.0
134,Button Pressed,2.0
135,Stim 2 Onset,187.57359995599836
136,Bar Orientation,0.0
137,Button Pressed,2.0
138,Stim 3 Onset,189.57389583298936
139,Bar Orientation,0.0
140,Button Pressed,2.0
141,Stim 0 Onset,196.57690195000032
142,Button Pressed,2.0
143,Stim 1 Onset,198.5737758569885
144,Button Pressed,2.0
145,Stim 2 Onset,200.57375619199593
146,Stim 3 Onset,202.57384651999746
147,Button Pressed,1.0
148,Stim 0 Onset,209.57682867599942
149,Bar Orientation,2.0
150,Button Pressed,1.0
151,Stim 1 Onset,211.5738704589894
152,Bar Orientation,0.0
153,Button Pressed,2.0
154,Stim 2 Onset,213.57391216699034
155,Bar Orientation,1.0
156,Button Pressed,2.0
157,Stim 3 Onset,215.57366740499856
158,Bar Orientation,1.0
159,Button Pressed,2.0
