,Event Type,Event Value,ImageID,ExpectedResp.,Correct? (1=M/diff)
150,Stim 2 Onset,200.56502914500015,,,
151,Button Pressed,1,10 (HAP_M05),1,1
152,Stim 3 Onset,202.56532855100158,,,
153,Button Pressed,2,18 (NEU_F07),2,1
154,Stim 0 Onset,209.56842379699992,,,
155,Bar Orientation,0,diffOri,NR,0
156,Stim 1 Onset,211.56543966900063,,,
157,Bar Orientation,0,,,
158,Button Pressed,1,,,
159,Button Pressed,1,diffOri,1,1
160,Stim 2 Onset,213.5654938050011,,,
161,Bar Orientation,2,,,
162,Button Pressed,2,sameOri,2,1
163,Stim 3 Onset,215.56538778600043,,,
164,Bar Orientation,0,,,
165,Button Pressed,1,diffOri,1,1
,Total Correct (%),,,,90.625
