,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1 = M/Diff)
149,Stim 3 Onset,202.56227862300148,,,
150,Button Pressed,2,30 (FEA_F35),2,1
151,Stim 0 Onset,209.5653462270002,,,
152,Bar Orientation,3,,,
153,Button Pressed,2,sameOri,2,1
154,Stim 1 Onset,211.5623045,,,
155,Bar Orientation,2,,,
156,Button Pressed,2,sameOri,2,1
157,Stim 2 Onset,213.56192268999985,,,
158,Bar Orientation,0,,,
159,Button Pressed,2,,,
160,Button Pressed,1,diffOri,1,1
161,Stim 3 Onset,215.56193957800133,,,
162,Bar Orientation,1,,,
163,Button Pressed,1,diffOri,1,1
,Total Correct (%),,,,93.75
