,Event Type,Event Value,ImageID,ExpectedResp,Correct? (1=M/diff)
149,Button Pressed,1,31 (FEA_M08),1,1
150,Stim 3 Onset,202.56874745599998,,,
151,Button Pressed,2,17 (NEU_F05),2,1
152,Stim 0 Onset,209.57168646699938,,,
153,Bar Orientation,3,,,
154,Button Pressed,2,sameOri,2,1
155,Stim 1 Onset,211.56816560300103,,,
156,Bar Orientation,0,,,
157,Button Pressed,2,,,
158,Button Pressed,1,diffOri,1,1
159,Stim 2 Onset,213.56826327499948,,,
160,Bar Orientation,3,,,
161,Button Pressed,2,sameOri,2,1
162,Stim 3 Onset,215.56838673099992,,,
163,Bar Orientation,0,,,
164,Button Pressed,1,diffori,1,1
,Total Correct (%),,,,84.375
